Steps,MSE
1.00E+02,3.97E+02
2.00E+02,3.45E+02
3.00E+02,3.05E+02
4.00E+02,2.63E+02
6.00E+02,2.12E+02
5.00E+02,2.37E+02
8.00E+02,1.59E+02
9.00E+02,1.34E+02
1.40E+03,4.86E+01
7.00E+02,1.78E+02
1.20E+03,7.73E+01
1.00E+03,1.13E+02
1.10E+03,9.47E+01
1.50E+03,3.48E+01
1.60E+03,2.66E+01
1.30E+03,6.05E+01
1.70E+03,1.87E+01
1.80E+03,1.27E+01
2.10E+03,1.92E+00
1.90E+03,6.25E+00
2.00E+03,3.54E+00
2.30E+03,4.46E-01
2.40E+03,3.97E-01
2.20E+03,1.29E+00
2.50E+03,5.00E-01
2.70E+03,1.86E-01
2.60E+03,6.02E-02
2.80E+03,2.31E-01
2.90E+03,2.85E-01
3.70E+03,2.66E-01
3.30E+03,2.19E-01
3.20E+03,2.05E-01
3.10E+03,1.87E-01
3.00E+03,3.66E-01
3.40E+03,2.32E-01
3.90E+03,2.70E-01
3.50E+03,2.47E-01
3.60E+03,2.59E-01
3.80E+03,2.68E-01
4.40E+03,2.44E-01
4.30E+03,2.49E-01
4.70E+03,2.34E-01
4.20E+03,2.63E-01
4.00E+03,2.69E-01
4.10E+03,2.66E-01
4.50E+03,2.41E-01
5.30E+03,1.85E-01
4.60E+03,2.38E-01
5.00E+03,1.91E-01
4.90E+03,1.93E-01
5.20E+03,1.89E-01
5.50E+03,1.82E-01
4.80E+03,2.26E-01
5.10E+03,1.88E-01
5.60E+03,1.78E-01
5.70E+03,1.76E-01
6.20E+03,1.68E-01
6.90E+03,1.41E-01
6.30E+03,1.66E-01
6.00E+03,1.72E-01
6.40E+03,1.64E-01
5.40E+03,1.82E-01
5.90E+03,1.72E-01
6.80E+03,1.41E-01
7.80E+03,1.32E-01
5.80E+03,1.74E-01
6.60E+03,1.47E-01
6.70E+03,1.44E-01
6.10E+03,1.69E-01
7.10E+03,1.39E-01
7.40E+03,1.37E-01
6.50E+03,1.63E-01
7.00E+03,1.41E-01
7.50E+03,1.35E-01
7.90E+03,1.23E-01
7.30E+03,1.40E-01
8.10E+03,1.21E-01
7.20E+03,1.39E-01
8.30E+03,1.17E-01
7.60E+03,1.33E-01
9.30E+03,9.86E-02
7.70E+03,1.33E-01
9.50E+03,9.64E-02
8.20E+03,1.19E-01
9.90E+03,9.40E-02
8.00E+03,1.23E-01
9.40E+03,9.91E-02
9.80E+03,9.40E-02
8.50E+03,1.16E-01
9.00E+03,1.11E-01
9.70E+03,9.68E-02
8.80E+03,1.12E-01
8.70E+03,1.14E-01
8.40E+03,1.15E-01
9.10E+03,1.11E-01
1.00E+04,9.24E-02
8.60E+03,1.15E-01
9.60E+03,9.57E-02
9.20E+03,1.01E-01
8.90E+03,1.13E-01
