Steps,MSE
1.00E+02,3.63E+02
2.00E+02,3.17E+02
3.00E+02,2.85E+02
5.00E+02,2.19E+02
4.00E+02,2.67E+02
6.00E+02,1.94E+02
8.00E+02,1.52E+02
7.00E+02,1.68E+02
9.00E+02,1.23E+02
1.00E+03,1.01E+02
1.30E+03,5.04E+01
1.20E+03,3.62E+01
1.40E+03,6.59E+01
1.10E+03,8.45E+01
1.50E+03,2.71E+01
1.60E+03,1.86E+01
2.10E+03,1.16E+00
1.70E+03,1.27E+01
2.20E+03,6.54E-01
1.90E+03,4.72E+00
2.00E+03,2.25E+00
1.80E+03,6.89E+00
2.60E+03,1.41E-01
2.40E+03,5.83E-01
2.30E+03,9.67E-01
2.50E+03,2.89E-01
2.80E+03,2.39E-02
2.70E+03,6.99E-02
3.00E+03,5.16E-02
2.90E+03,7.43E-03
3.30E+03,8.02E-02
3.70E+03,6.65E-04
3.40E+03,1.09E-03
3.20E+03,1.76E-02
3.10E+03,3.16E-02
3.80E+03,2.88E-03
4.20E+03,1.77E-03
4.10E+03,2.09E-03
3.60E+03,1.14E-03
4.30E+03,1.67E-03
3.50E+03,2.46E-03
4.70E+03,7.81E-04
4.50E+03,1.12E-03
3.90E+03,2.50E-03
4.40E+03,1.31E-03
4.00E+03,2.45E-03
4.80E+03,3.34E-03
4.90E+03,3.01E-03
5.40E+03,2.12E-03
4.60E+03,8.03E-04
5.20E+03,2.33E-03
5.10E+03,2.34E-03
5.70E+03,1.60E-03
5.30E+03,2.26E-03
5.00E+03,2.43E-03
5.60E+03,1.73E-03
5.50E+03,1.88E-03
6.00E+03,1.22E-03
6.10E+03,1.05E-03
5.80E+03,1.52E-03
6.30E+03,8.33E-04
6.20E+03,8.09E-04
6.40E+03,7.81E-04
5.90E+03,1.24E-03
6.50E+03,1.98E-03
7.30E+03,1.24E-03
6.90E+03,1.59E-03
6.60E+03,1.98E-03
7.20E+03,1.28E-03
7.50E+03,1.09E-03
6.70E+03,1.82E-03
7.70E+03,9.62E-04
6.80E+03,1.85E-03
7.00E+03,1.31E-03
7.40E+03,1.16E-03
7.60E+03,9.04E-04
7.10E+03,1.40E-03
8.60E+03,6.49E-03
8.50E+03,6.28E-03
8.00E+03,7.86E-04
8.80E+03,6.20E-03
7.90E+03,8.66E-04
8.10E+03,7.51E-04
9.60E+03,5.65E-03
8.20E+03,6.63E-04
7.80E+03,8.95E-04
8.30E+03,6.84E-03
9.50E+03,5.37E-03
8.40E+03,6.57E-03
8.70E+03,6.82E-03
9.40E+03,5.82E-03
8.90E+03,6.20E-03
1.00E+04,5.15E-03
9.30E+03,5.61E-03
9.00E+03,5.84E-03
9.90E+03,5.07E-03
9.10E+03,5.96E-03
9.20E+03,5.82E-03
9.80E+03,5.17E-03
9.70E+03,5.78E-03
