Steps,MSE
1.00E+02,3.68E+02
4.00E+02,2.90E+02
2.00E+02,3.68E+02
3.00E+02,3.14E+02
7.00E+02,2.02E+02
6.00E+02,2.32E+02
5.00E+02,2.56E+02
8.00E+02,1.84E+02
1.10E+03,1.25E+02
1.00E+03,1.42E+02
1.30E+03,8.64E+01
1.20E+03,1.05E+02
9.00E+02,1.56E+02
1.50E+03,6.49E+01
1.40E+03,7.35E+01
1.60E+03,4.95E+01
2.00E+03,1.57E+01
1.80E+03,2.97E+01
1.90E+03,2.26E+01
1.70E+03,3.82E+01
2.40E+03,3.43E+00
2.10E+03,1.23E+01
2.30E+03,5.07E+00
2.50E+03,2.24E+00
2.20E+03,7.59E+00
2.60E+03,1.42E+00
2.80E+03,6.55E-01
2.70E+03,1.03E+00
3.10E+03,2.36E-01
3.20E+03,1.30E-01
3.30E+03,9.72E-02
3.00E+03,4.02E-01
2.90E+03,5.22E-01
3.60E+03,1.08E-02
3.90E+03,8.89E-03
3.40E+03,4.07E-02
3.80E+03,1.53E-02
3.50E+03,2.29E-02
3.70E+03,2.51E-02
4.20E+03,8.47E-04
4.00E+03,3.67E-03
4.70E+03,5.00E-03
4.10E+03,6.78E-04
4.50E+03,5.87E-03
4.30E+03,3.60E-04
4.40E+03,6.00E-03
4.90E+03,3.70E-03
4.60E+03,5.52E-03
4.80E+03,4.55E-03
5.20E+03,3.17E-03
5.00E+03,3.64E-03
5.10E+03,3.26E-03
5.40E+03,2.98E-03
5.70E+03,2.57E-03
5.60E+03,2.62E-03
6.80E+03,1.31E-03
5.30E+03,3.12E-03
5.90E+03,2.12E-03
6.40E+03,1.63E-03
6.10E+03,1.91E-03
6.20E+03,1.64E-03
5.50E+03,2.73E-03
6.50E+03,1.55E-03
5.80E+03,2.13E-03
6.00E+03,2.07E-03
6.90E+03,1.34E-03
6.60E+03,1.30E-03
7.00E+03,1.26E-03
6.30E+03,1.59E-03
7.20E+03,1.10E-03
7.60E+03,6.89E-04
8.30E+03,2.95E-03
6.70E+03,1.23E-03
7.80E+03,6.39E-04
7.10E+03,1.17E-03
8.60E+03,2.59E-03
7.40E+03,8.71E-04
8.50E+03,2.73E-03
8.20E+03,2.81E-03
8.10E+03,2.92E-03
7.50E+03,8.75E-04
7.30E+03,9.19E-04
8.40E+03,2.83E-03
9.00E+03,2.72E-03
8.00E+03,5.97E-04
9.20E+03,2.17E-03
7.90E+03,5.83E-04
9.40E+03,2.33E-03
9.10E+03,2.29E-03
7.70E+03,6.92E-04
9.90E+03,2.02E-03
8.70E+03,2.67E-03
8.90E+03,2.60E-03
9.80E+03,2.03E-03
9.30E+03,2.27E-03
9.70E+03,2.05E-03
8.80E+03,2.56E-03
9.50E+03,2.37E-03
9.60E+03,2.22E-03
1.00E+04,2.03E-03
